symbol_id,date_id,seconds_bucket,cummulative_continous_volume,close_volume
1029677210,1,900,807074.0,
1029677210,1,1800,1212144.0,
1029677210,1,3600,1783059.0,
1029677210,1,5400,2073908.0,
1029677210,1,7200,2314723.0,
1029677210,1,9000,2601093.0,
1029677210,1,10800,2982600.0,
1029677210,1,12600,3198348.0,
1029677210,1,14400,3344615.0,
1029677210,1,16200,3508609.0,
1029677210,1,18000,3652100.0,
1029677210,1,19800,3816439.0,
1029677210,1,21600,3953288.0,
1029677210,1,23400,4159383.0,
1029677210,1,25200,4666890.0,
1029677210,1,26400,4990828.0,
1029677210,1,27000,5246842.0,
1029677210,1,28500,5658886.0,
1029677210,1,28800,5726025.0,
1029677210,1,29400,5918872.0,
1029677210,1,30000,6154285.0,
1029677210,1,30300,6240475.0,
1029677210,1,30600,6361400.0,
1029677210,1,31200,,2142475.0
1029677210,2,900,370248.0,
1029677210,2,1800,693689.0,
1029677210,2,3600,1207236.0,
1029677210,2,5400,1989921.0,
1029677210,2,7200,2653818.0,
1029677210,2,9000,3511038.0,
1029677210,2,10800,4132191.0,
1029677210,2,12600,4504458.0,
1029677210,2,14400,4867906.0,
1029677210,2,16200,5463592.0,
1029677210,2,18000,5765905.0,
1029677210,2,19800,6160610.0,
1029677210,2,21600,6492265.0,
1029677210,2,23400,7089497.0,
1029677210,2,25200,7882095.0,
1029677210,2,26400,8333724.0,
1029677210,2,27000,8470263.0,
1029677210,2,28500,8915344.0,
1029677210,2,28800,9016155.0,
1029677210,2,29400,9281363.0,
1029677210,2,30000,9503972.0,
1029677210,2,30300,9673169.0,
1029677210,2,30600,9921723.0,
1029677210,2,31200,,3344441.0
1029677210,3,900,474129.0,
1029677210,3,1800,976528.0,
1029677210,3,3600,1712260.0,
1029677210,3,5400,2161030.0,
1029677210,3,7200,2546440.0,
1029677210,3,9000,3155468.0,
1029677210,3,10800,3549773.0,
1029677210,3,12600,3901436.0,
1029677210,3,14400,4254300.0,
1029677210,3,16200,4547853.0,
1029677210,3,18000,4661602.0,
1029677210,3,19800,4871045.0,
1029677210,3,21600,5212197.0,
1029677210,3,23400,5534840.0,
1029677210,3,25200,6640083.0,
1029677210,3,26400,7376317.0,
1029677210,3,27000,7722168.0,
1029677210,3,28500,8202344.0,
1029677210,3,28800,8360042.0,
1029677210,3,29400,8589754.0,
1029677210,3,30000,9025692.0,
1029677210,3,30300,9205250.0,
1029677210,3,30600,9376356.0,
1029677210,3,31200,,3652280.0
1029677210,4,900,394942.0,
1029677210,4,1800,658796.0,
1029677210,4,3600,1030593.0,
1029677210,4,5400,1513535.0,
1029677210,4,7200,2025403.0,
1029677210,4,9000,2708801.0,
1029677210,4,10800,3210714.0,
1029677210,4,12600,3411623.0,
1029677210,4,14400,3577517.0,
1029677210,4,16200,3749925.0,
1029677210,4,18000,3955480.0,
1029677210,4,19800,4191155.0,
1029677210,4,21600,4352004.0,
1029677210,4,23400,4640828.0,
1029677210,4,25200,4978784.0,
1029677210,4,26400,5141476.0,
1029677210,4,27000,5207282.0,
1029677210,4,28500,5463824.0,
1029677210,4,28800,5521494.0,
1029677210,4,29400,5681298.0,
1029677210,4,30000,5855846.0,
1029677210,4,30300,5967933.0,
1029677210,4,30600,6062530.0,
1029677210,4,31200,,1430495.0
1029677210,5,900,217539.0,
1029677210,5,1800,407621.0,
1029677210,5,3600,814060.0,
1029677210,5,5400,1205549.0,
1029677210,5,7200,1375352.0,
1029677210,5,9000,1561017.0,
1029677210,5,10800,1845202.0,
1029677210,5,12600,1956913.0,
1029677210,5,14400,2146970.0,
1029677210,5,16200,2316057.0,
1029677210,5,18000,2452905.0,
1029677210,5,19800,2619462.0,
1029677210,5,21600,2930514.0,
1029677210,5,23400,3206601.0,
1029677210,5,25200,4051436.0,
1029677210,5,26400,4666277.0,
1029677210,5,27000,4942560.0,
1029677210,5,28500,5382580.0,
1029677210,5,28800,5515411.0,
1029677210,5,29400,5856120.0,
1029677210,5,30000,6083862.0,
1029677210,5,30300,6210108.0,
1029677210,5,30600,6318833.0,
1029677210,5,31200,,1917417.0
1029677210,6,900,470337.0,
1029677210,6,1800,822795.0,
1029677210,6,3600,1335755.0,
1029677210,6,5400,1807910.0,
1029677210,6,7200,2148775.0,
1029677210,6,9000,2464905.0,
1029677210,6,10800,2688687.0,
1029677210,6,12600,2895489.0,
1029677210,6,14400,3206306.0,
1029677210,6,16200,3365284.0,
1029677210,6,18000,3531329.0,
1029677210,6,19800,3744804.0,
1029677210,6,21600,3933088.0,
1029677210,6,23400,4165885.0,
1029677210,6,25200,4972611.0,
1029677210,6,26400,5475936.0,
1029677210,6,27000,5627360.0,
1029677210,6,28500,5980606.0,
1029677210,6,28800,6036061.0,
1029677210,6,29400,6280959.0,
1029677210,6,30000,6424804.0,
1029677210,6,30300,6568557.0,
1029677210,6,30600,6678316.0,
1029677210,6,31200,,1870751.0
1029677210,7,900,575691.0,
1029677210,7,1800,956590.0,
1029677210,7,3600,1511475.0,
1029677210,7,5400,1817046.0,
1029677210,7,7200,2490115.0,
1029677210,7,9000,2967054.0,
1029677210,7,10800,3283017.0,
1029677210,7,12600,3550293.0,
1029677210,7,14400,3853271.0,
1029677210,7,16200,4101082.0,
1029677210,7,18000,4277033.0,
1029677210,7,19800,4455978.0,
1029677210,7,21600,4997725.0,
1029677210,7,23400,5236749.0,
1029677210,7,25200,5903585.0,
1029677210,7,26400,6335572.0,
1029677210,7,27000,6506903.0,
1029677210,7,28500,6862765.0,
1029677210,7,28800,6929518.0,
1029677210,7,29400,7164450.0,
1029677210,7,30000,7498447.0,
1029677210,7,30300,7632838.0,
1029677210,7,30600,7835994.0,
1029677210,7,31200,,1810906.0
1029677210,8,900,241318.0,
1029677210,8,1800,401672.0,
1029677210,8,3600,652330.0,
1029677210,8,5400,841064.0,
1029677210,8,7200,1008591.0,
1029677210,8,9000,1277164.0,
1029677210,8,10800,1481775.0,
1029677210,8,12600,1780291.0,
1029677210,8,14400,1922040.0,
1029677210,8,16200,2085935.0,
1029677210,8,18000,2209107.0,
1029677210,8,19800,2399381.0,
1029677210,8,21600,2728247.0,
1029677210,8,23400,3086468.0,
1029677210,8,25200,4073720.0,
1029677210,8,26400,4492535.0,
1029677210,8,27000,4759094.0,
1029677210,8,28500,5184519.0,
1029677210,8,28800,5299047.0,
1029677210,8,29400,5501074.0,
1029677210,8,30000,5713242.0,
1029677210,8,30300,5871000.0,
1029677210,8,30600,6024819.0,
1029677210,8,31200,,3217391.0
1029677210,9,900,300091.0,
1029677210,9,1800,553939.0,
1029677210,9,3600,1035284.0,
1029677210,9,5400,1226794.0,
1029677210,9,7200,1379579.0,
1029677210,9,9000,1591927.0,
1029677210,9,10800,1771244.0,
1029677210,9,12600,1904217.0,
1029677210,9,14400,2210451.0,
1029677210,9,16200,2344320.0,
1029677210,9,18000,2437105.0,
1029677210,9,19800,2581320.0,
1029677210,9,21600,3116287.0,
1029677210,9,23400,3415524.0,
1029677210,9,25200,3987790.0,
1029677210,9,26400,4416934.0,
1029677210,9,27000,4684648.0,
1029677210,9,28500,5096138.0,
1029677210,9,28800,5157916.0,
1029677210,9,29400,5368139.0,
1029677210,9,30000,5682761.0,
1029677210,9,30300,5828605.0,
1029677210,9,30600,5999750.0,
1029677210,9,31200,,1531829.0
1029677210,10,900,330163.0,
1029677210,10,1800,548453.0,
1029677210,10,3600,862968.0,
1029677210,10,5400,1247474.0,
1029677210,10,7200,1410826.0,
1029677210,10,9000,1631675.0,
1029677210,10,10800,1798617.0,
